time,open,high,low,close,volume
2023-01-04 19:00:00+00:00,85.82,86.28,85.0,85.4202,2578727
2023-01-04 19:15:00+00:00,85.42,85.86,84.56,84.5901,2307328
2023-01-04 19:30:00+00:00,84.57,85.1491,84.465,85.015,1740284
2023-01-04 19:45:00+00:00,85.02,85.46,84.88,85.42,1475012
2023-01-04 20:00:00+00:00,85.41,85.69,85.33,85.435,1688470
2023-01-04 20:15:00+00:00,85.43,85.64,85.04,85.0402,1570439
2023-01-04 20:30:00+00:00,85.03,85.07,84.5,84.5427,2356197
2023-01-04 20:45:00+00:00,84.5421,85.2,84.475,85.14,4242060
2023-01-04 21:00:00+00:00,85.15,85.34,85.03,85.15,11486495
2023-01-04 21:15:00+00:00,85.15,85.19,85.0,85.04,189831
2023-01-04 21:30:00+00:00,85.04,85.14,85.01,85.05,14110
2023-01-04 21:45:00+00:00,85.09,85.09,85.0,85.03,449264
2023-01-04 22:00:00+00:00,85.03,85.18,85.01,85.13,18389
2023-01-04 22:15:00+00:00,85.14,85.3,85.11,85.25,40367
2023-01-04 22:30:00+00:00,85.25,85.3,85.2,85.3,835743
2023-01-04 22:45:00+00:00,85.28,85.3,85.23,85.2992,14527
2023-01-04 23:00:00+00:00,85.22,85.2399,85.01,85.1,17132
2023-01-04 23:15:00+00:00,85.1,86.66,85.03,86.64,200054
2023-01-04 23:30:00+00:00,86.6,86.77,86.4,86.55,133423
2023-01-04 23:45:00+00:00,86.57,86.71,86.55,86.7,55716
2023-01-05 00:00:00+00:00,86.65,86.71,86.6,86.65,50665
2023-01-05 00:15:00+00:00,86.71,86.71,86.61,86.65,37927
2023-01-05 00:30:00+00:00,86.65,86.75,86.57,86.6,50760
2023-01-05 00:45:00+00:00,86.57,86.64,86.45,86.6,64672
2023-01-05 09:00:00+00:00,86.36,86.81,86.32,86.72,64838
2023-01-05 09:15:00+00:00,86.74,87.26,86.74,87.15,40606
2023-01-05 09:30:00+00:00,87.19,87.3,86.98,87.11,26713
2023-01-05 09:45:00+00:00,87.11,87.3,87.04,87.3,22289
2023-01-05 10:00:00+00:00,87.33,87.44,87.22,87.27,10246
2023-01-05 10:15:00+00:00,87.27,87.5,87.27,87.34,83292
2023-01-05 10:30:00+00:00,87.34,87.48,87.29,87.42,14944
2023-01-05 10:45:00+00:00,87.33,87.41,87.28,87.34,11434
2023-01-05 11:00:00+00:00,87.39,87.65,87.39,87.5,24388
2023-01-05 11:15:00+00:00,87.6,87.64,87.34,87.46,35536
2023-01-05 11:30:00+00:00,87.44,87.5,87.33,87.33,7296
2023-01-05 11:45:00+00:00,87.49,87.5,87.35,87.35,14083
2023-01-05 12:00:00+00:00,87.44,87.45,86.73,86.79,102100
2023-01-05 12:15:00+00:00,86.79,87.0,86.72,86.75,40108
2023-01-05 12:30:00+00:00,86.7,86.99,86.57,86.63,70578
2023-01-05 12:45:00+00:00,86.59,86.6,86.41,86.47,62852
2023-01-05 13:00:00+00:00,87.3,87.44,86.2,86.4,251709
2023-01-05 13:15:00+00:00,86.34,86.45,85.85,86.26,152396
2023-01-05 13:30:00+00:00,86.26,86.3125,85.4,85.47,321726
2023-01-05 13:45:00+00:00,85.46,85.74,85.46,85.6,149156
2023-01-05 14:00:00+00:00,85.62,85.8,85.29,85.61,173872
2023-01-05 14:15:00+00:00,85.61,85.75,85.23,85.3,179205
2023-01-05 14:30:00+00:00,85.33,85.42,84.08,84.41,5627683
2023-01-05 14:45:00+00:00,84.415,84.42,83.87,84.0399,3399898
2023-01-05 15:00:00+00:00,84.025,84.44,83.741,84.2788,3645204
2023-01-05 15:15:00+00:00,84.27,84.365,83.7,83.76,2721093
2023-01-05 15:30:00+00:00,83.76,83.89,83.44,83.68,2346297
2023-01-05 15:45:00+00:00,83.695,83.765,83.22,83.32,2055707
2023-01-05 16:00:00+00:00,83.3146,83.73,83.11,83.56,2289240
2023-01-05 16:15:00+00:00,83.585,83.68,83.37,83.53,1448794
2023-01-05 16:30:00+00:00,83.5296,84.01,83.45,83.9807,1636469
2023-01-05 16:45:00+00:00,83.985,84.0918,83.8399,83.84,1268987
2023-01-05 17:00:00+00:00,83.8439,84.26,83.77,84.0313,1646599
2023-01-05 17:15:00+00:00,84.04,84.0432,83.755,83.765,1374408
2023-01-05 17:30:00+00:00,83.7662,84.01,83.66,83.68,1129298
2023-01-05 17:45:00+00:00,83.68,83.8,83.64,83.68,876034
2023-01-05 18:00:00+00:00,83.6776,83.74,83.48,83.5004,1438011
2023-01-05 18:15:00+00:00,83.505,84.2,83.49,83.982,2775592
