,Action,Portfolio,Price,Timestamp
96,Buy,10073.459710805833,191.16999949244857,2024-05-20 22:00:00+00:00
97,Sell,10073.209712396176,191.11999981051684,2024-05-20 23:00:00+00:00
98,Buy,10073.209712396176,190.76999984214902,2024-05-21 10:00:00+00:00
99,Sell,10075.459714544448,191.22000027180314,2024-05-21 11:00:00+00:00
100,Buy,10075.459714544448,191.5199994608164,2024-05-21 12:00:00+00:00
101,Sell,10074.80971648449,191.38999984882474,2024-05-21 13:00:00+00:00
102,Buy,10074.809716484488,192.19999996374844,2024-05-21 14:00:00+00:00
103,Sell,10075.259215391905,192.28989974523188,2024-05-21 15:00:00+00:00
104,Buy,10075.259215391905,192.10500045833587,2024-05-21 16:00:00+00:00
105,Sell,10075.383712525787,192.12989988511205,2024-05-21 17:00:00+00:00
106,Buy,10075.383712525787,192.49879966959952,2024-05-21 18:00:00+00:00
107,Sell,10075.914711540283,192.6049994724989,2024-05-21 19:00:00+00:00
108,Buy,10075.914711540283,192.35999982386826,2024-05-21 20:00:00+00:00
109,Sell,10075.864712955774,192.3500001069665,2024-05-21 21:00:00+00:00
110,Buy,10075.864712955774,192.39999978889824,2024-05-21 22:00:00+00:00
111,Sell,10076.814713497013,192.5899998971462,2024-05-21 23:00:00+00:00
112,Buy,10076.814713497013,192.47999971895814,2024-05-22 08:00:00+00:00
113,Sell,10074.464714179725,192.00999985550047,2024-05-22 09:00:00+00:00
114,Buy,10074.464714179725,191.8100000303507,2024-05-22 10:00:00+00:00
115,Buy,10074.264714354575,191.77000006532074,2024-05-22 11:00:00+00:00
116,Buy,10077.86471120727,192.1699997156203,2024-05-22 12:00:00+00:00
117,Sell,10076.954708436215,192.09999950246214,2024-05-22 13:00:00+00:00
118,Buy,10076.954708436215,192.47000000205637,2024-05-22 14:00:00+00:00
119,Sell,10075.004708769226,192.0800000686586,2024-05-22 15:00:00+00:00
120,Buy,10075.004708769226,191.82899971194863,2024-05-22 16:00:00+00:00
121,Sell,10072.359711218798,191.30000020186304,2024-05-22 17:00:00+00:00
122,Buy,10072.359711218798,190.85499963065982,2024-05-22 18:00:00+00:00
123,Sell,10072.134712101393,190.80999980717897,2024-05-22 19:00:00+00:00
124,Buy,10072.134712101393,190.83000033840537,2024-05-23 10:00:00+00:00
125,Sell,10072.234709270411,190.84999977220892,2024-05-23 11:00:00+00:00
126,Buy,10072.234709270411,191.25000051993132,2024-05-23 12:00:00+00:00
127,Sell,10072.584704849089,191.31999963566662,2024-05-23 13:00:00+00:00
128,Buy,10072.584704849089,189.6849998304665,2024-05-23 16:00:00+00:00
129,Sell,10068.109705331917,188.789999927032,2024-05-23 17:00:00+00:00
130,Buy,10068.109705331917,190.1750002251506,2024-05-24 16:00:00+00:00
131,Sell,10069.009701801535,190.35499951907397,2024-05-24 17:00:00+00:00
132,Buy,10069.009701801535,189.98999997535347,2024-05-24 22:00:00+00:00
133,Sell,10069.509704107966,190.0900004366398,2024-05-24 23:00:00+00:00
134,Buy,10069.509704107966,189.95000001032352,2024-05-28 08:00:00+00:00
135,Sell,10091.209704341616,194.29000005705356,2024-05-28 09:00:00+00:00
136,Buy,10091.209704341618,194.50000069652796,2024-05-28 10:00:00+00:00
137,Buy,10087.209702351507,193.700000298506,2024-05-28 11:00:00+00:00
138,Buy,10085.40970392516,193.50000047335624,2024-05-28 12:00:00+00:00
139,Buy,10078.6496955686,192.979999830544,2024-05-28 13:00:00+00:00
140,Buy,10047.769691837635,191.0499995973587,2024-05-28 14:00:00+00:00
141,Buy,10059.07470541164,191.64500031177997,2024-05-28 15:00:00+00:00
142,Buy,10055.334690573862,191.47499963733554,2024-05-28 16:00:00+00:00
143,Buy,10051.102205042589,191.30570021608472,2024-05-28 17:00:00+00:00
144,Buy,10024.54769233101,190.3221997452855,2024-05-28 18:00:00+00:00
145,Sell,10007.083897892053,189.71999993704557,2024-05-28 19:00:00+00:00
146,Buy,10007.083897892051,190.02000022348165,2024-05-28 22:00:00+00:00
147,Sell,10007.083897892051,190.02000022348165,2024-05-28 23:00:00+00:00
148,Buy,10007.083897892051,190.1499998354733,2024-05-29 08:00:00+00:00
149,Buy,10003.283901214207,189.39000049990415,2024-05-29 09:00:00+00:00
150,Buy,10003.823895803707,189.44999989873767,2024-05-29 10:00:00+00:00
151,Buy,10007.203899981989,189.7100002201438,2024-05-29 11:00:00+00:00
152,Buy,10011.683896065344,189.98999997535347,2024-05-29 12:00:00+00:00
153,Sell,10017.573896128762,190.29999997869135,2024-05-29 13:00:00+00:00
154,Buy,10017.573896128762,191.7849996406734,2024-05-29 14:00:00+00:00
155,Sell,10019.54689777844,192.17959997060896,2024-05-29 15:00:00+00:00
156,Buy,10019.54689777844,191.4464995662272,2024-05-29 16:00:00+00:00
157,Sell,10021.783401625802,191.89380033569932,2024-05-29 17:00:00+00:00
158,Buy,10021.783401625802,191.77999978222252,2024-05-29 18:00:00+00:00
159,Sell,10018.983404073706,191.22000027180314,2024-05-29 19:00:00+00:00
160,Buy,10018.983404073706,190.60000026512742,2024-05-30 10:00:00+00:00
161,Sell,10019.783403374304,190.76000012524725,2024-05-30 11:00:00+00:00
162,Buy,10019.783403374306,191.46999977888464,2024-05-30 16:00:00+00:00
163,Sell,10021.173404628296,191.7480000296831,2024-05-30 17:00:00+00:00
164,Buy,10021.173404628296,190.98000048162342,2024-05-31 10:00:00+00:00
165,Buy,10019.673403196115,190.68000019518732,2024-05-31 11:00:00+00:00
166,Buy,10024.35339910462,191.19999974057674,2024-05-31 12:00:00+00:00
167,Sell,10030.203404690124,191.65000017023087,2024-05-31 13:00:00+00:00
168,Buy,10030.203404690124,191.7099995690644,2024-05-31 14:00:00+00:00
169,Buy,10027.653904875076,191.20009960605503,2024-05-31 15:00:00+00:00
170,Buy,10019.868009188016,190.3350000852704,2024-05-31 16:00:00+00:00
171,Buy,10016.033003624207,190.03999965728522,2024-05-31 17:00:00+00:00
172,Buy,10027.71460442968,190.7700997076273,2024-05-31 18:00:00+00:00
173,Sell,10027.52271236446,190.76000012524725,2024-05-31 19:00:00+00:00
174,Buy,10027.52271236446,192.4600002851546,2024-05-31 22:00:00+00:00
175,Sell,10027.572710948969,192.47000000205637,2024-05-31 23:00:00+00:00
176,Buy,10027.572710948969,192.47999971895814,2024-06-03 08:00:00+00:00
177,Sell,10030.672710982348,193.09999972563386,2024-06-03 09:00:00+00:00
178,Buy,10030.672710982348,192.979999830544,2024-06-03 10:00:00+00:00
179,Sell,10029.772714512732,192.80000053662062,2024-06-03 11:00:00+00:00
180,Buy,10029.772714512732,192.9499995824158,2024-06-03 12:00:00+00:00
181,Sell,10029.122716452774,192.81999997042416,2024-06-03 13:00:00+00:00
182,Buy,10029.122716452774,194.10999966570733,2024-06-03 14:00:00+00:00
183,Sell,10028.322717152174,193.94999980558754,2024-06-03 15:00:00+00:00
184,Buy,10028.322717152174,193.93000037178396,2024-06-03 16:00:00+00:00
185,Sell,10024.947713929769,193.2549997273028,2024-06-03 17:00:00+00:00
186,Buy,10024.947713929769,193.6099995541215,2024-06-03 18:00:00+00:00
187,Sell,10022.14721705028,193.04990017822385,2024-06-03 19:00:00+00:00
188,Buy,10022.14721705028,194.0900002319038,2024-06-03 20:00:00+00:00
189,Sell,10022.19721563479,194.09999994880556,2024-06-03 21:00:00+00:00
190,Buy,10022.19721563479,194.09999994880556,2024-06-03 22:00:00+00:00
191,Sell,10021.847214568998,194.02999973564744,2024-06-03 23:00:00+00:00
192,Buy,10021.847214568998,194.080000515002,2024-06-04 08:00:00+00:00
193,Sell,10017.997213819528,193.31000036510824,2024-06-04 09:00:00+00:00
194,Buy,10017.997213819528,193.20000018692016,2024-06-04 10:00:00+00:00
195,Sell,10018.497210638845,193.29999955078364,2024-06-04 11:00:00+00:00
196,Buy,10018.497210638845,193.67999976727964,2024-06-04 12:00:00+00:00
197,Sell,10019.497209764595,193.87999959242939,2024-06-04 13:00:00+00:00
198,Buy,10019.497209764595,193.17999965569376,2024-06-04 14:00:00+00:00
199,Buy,10024.497710207845,194.18009974434375,2024-06-04 15:00:00+00:00
200,Buy,10021.525907818159,193.84989947882295,2024-06-04 16:00:00+00:00
201,Buy,10030.30221444763,194.5249999887824,2024-06-04 17:00:00+00:00
202,Buy,10031.02222918209,194.5700009096861,2024-06-04 18:00:00+00:00
203,Sell,10032.922217095496,194.67000027354956,2024-06-04 19:00:00+00:00
204,Buy,10032.922217095496,194.78999907121658,2024-06-05 10:00:00+00:00
205,Sell,10032.02222062588,194.6099997772932,2024-06-05 11:00:00+00:00
206,Buy,10032.02222062588,194.8300001336694,2024-06-05 12:00:00+00:00
207,Sell,10033.472223473551,195.1200007032037,2024-06-05 13:00:00+00:00
208,Buy,10033.472223473551,195.7799995774865,2024-06-05 14:00:00+00:00
209,Sell,10030.922229818227,195.2700008464217,2024-06-05 15:00:00+00:00
210,Buy,10030.922229818227,196.01999936766623,2024-06-05 16:00:00+00:00
211,Buy,10030.99722769499,196.0349989430189,2024-06-05 17:00:00+00:00
212,Buy,10036.712243686858,196.67000071989298,2024-06-05 18:00:00+00:00
213,Sell,10025.792238967184,195.83000035684108,2024-06-05 19:00:00+00:00
214,Buy,10025.792238967184,195.43649964458942,2024-06-05 22:00:00+00:00
215,Sell,10026.559743577545,195.59000056666136,2024-06-05 23:00:00+00:00
216,Buy,10026.559743577545,195.8200006399393,2024-06-06 10:00:00+00:00
217,Sell,10027.059740396862,195.92000000380278,2024-06-06 11:00:00+00:00
218,Buy,10027.059740396862,195.67000049672126,2024-06-06 12:00:00+00:00
219,Sell,10028.054740761583,195.86900056966545,2024-06-06 13:00:00+00:00
220,Buy,10028.054740761583,196.11009997752905,2024-06-06 14:00:00+00:00
221,Sell,10026.229243715588,195.74500056833028,2024-06-06 15:00:00+00:00
222,Buy,10026.229243715588,195.530000070405,2024-06-06 16:00:00+00:00
223,Sell,10028.42924727935,195.97000078315736,2024-06-06 17:00:00+00:00
224,Buy,10028.42924727935,194.89000062992574,2024-06-07 10:00:00+00:00
225,Buy,10028.479245863859,194.9000003468275,2024-06-07 11:00:00+00:00
226,Buy,10030.459249071244,195.1200007032037,2024-06-07 12:00:00+00:00
227,Sell,10012.25923644962,193.7199997323096,2024-06-07 13:00:00+00:00
228,Buy,10012.25923644962,195.84999979064463,2024-06-07 16:00:00+00:00
229,Sell,10014.609235766908,196.31999965410233,2024-06-07 17:00:00+00:00
230,Buy,10014.609235766908,197.3700006566286,2024-06-10 10:00:00+00:00
231,Sell,10014.85922868945,197.4199992411375,2024-06-10 11:00:00+00:00
232,Buy,10014.85922868945,197.59000101300478,2024-06-10 12:00:00+00:00
233,Sell,10014.659223377186,197.54999995055198,2024-06-10 13:00:00+00:00
234,Buy,10014.659223377186,195.40900042310955,2024-06-10 14:00:00+00:00
235,Buy,10014.539220189827,195.38499978563786,2024-06-10 15:00:00+00:00
236,Buy,10013.144220174807,195.22999978396894,2024-06-10 16:00:00+00:00
237,Buy,10018.214219308978,195.61999971736668,2024-06-10 17:00:00+00:00
238,Sell,10007.494206732494,194.9499989313364,2024-06-10 18:00:00+00:00
239,Buy,10007.494206732494,192.85000021855234,2024-06-10 21:00:00+00:00
240,Sell,10004.894203518432,192.3299995757401,2024-06-10 22:00:00+00:00
